"Six Digit Industries","Year","Capital productivity (2007=100)","Capital productivity (percent change)","Capital (2007=100)","Capital (percent change)","Capital costs (Million $)","Capital costs (percent change)","Capital cost share","Capital cost share (percent change)","Capital intensity (2007=100)","Capital intensity (percent change)","Contribution of capital intensity (2007=100)","Contribution of capital intensity (percent change)","Labor productivity (2007=100)","Labor productivity (percent change)","Hours worked (2007=100)","Hours worked (percent change)","Labor compensation (Million $)","Labor compensation (percent change)","Labor cost share","Labor cost share (percent change)","Hours worked (millions)","Hours worked (percent change)","Multifactor productivity (2007=100)","Multifactor productivity (percent change)","Combined inputs (2007=100)","Combined inputs (percent change)","Combined inputs costs (Million $)","Combined inputs costs (percent change)","Implicit combined inputs deflator (2007=100)","Implicit combined inputs deflator (percent change)","Intermediate purchases productivity (2007=100)","Intermediate purchases productivity (percent change)","Intermediate purchases (2007=100)","Intermediate purchases (percent change)","Intermediate purchases costs (Million $)","Intermediate purchases costs (percent change)","Intermediate purchases cost share","Intermediate purchases cost share (percent change)","Intermediate purchases to hours ratio (2007=100)","Intermediate purchases to hours ratio (percent change)","Contribution of intermediate purchases intensity (2007=100)","Contribution of intermediate purchases intensity (percent change)","Output (2007=100)","Output (percent change)","Implicit output deflator (2007=100)","Implicit output deflator (percent change)","Value of production (Million $)","Value of production (percent change)","Unit labor costs (2007=100)","Unit labor costs (percent change)","Labor compensation (2007=100)","Labor compensation (percent change)","Hourly compensation (2007=100)","Hourly compensation (percent change)","Output per employee (2007=100)","Output per employee (percent change)","Employment (2007=100)","Employment (percent change)","Employment (thousands)","Employment (percent change)"
621210 - Offices of dentists,1987,,,,,,,,,,,,,,,71.859,,,,,,822.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.475,,567.800,
621210 - Offices of dentists,1988,,,,,,,,,,,,,,,73.942,2.9,,,,,846.715,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.940,2.2,580.500,2.2
621210 - Offices of dentists,1989,,,,,,,,,,,,,,,79.161,7.1,,,,,906.484,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.526,5.4,611.600,5.4
621210 - Offices of dentists,1990,,,,,,,,,,,,,,,79.727,0.7,,,,,912.965,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.368,1.2,618.900,1.2
621210 - Offices of dentists,1991,,,,,,,,,,,,,,,81.459,2.2,,,,,932.795,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.720,3.3,639.300,3.3
621210 - Offices of dentists,1992,,,,,,,,,,,,,,,81.739,0.3,,,,,936.006,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.343,0.8,644.700,0.8
621210 - Offices of dentists,1993,,,,,,,,,,,,,,,81.640,-0.1,,,,,934.872,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.631,0.4,647.200,0.4
621210 - Offices of dentists,1994,,,,,,,,,,,,,,,82.509,1.1,,,,,944.826,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.107,2.0,660.000,2.0
621210 - Offices of dentists,1995,,,,,,,,,,,,,,,83.109,0.7,,,,,951.689,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.252,2.8,678.600,2.8
621210 - Offices of dentists,1996,,,,,,,,,,,,,,,86.563,4.2,,,,,991.247,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.855,2.0,692.500,2.0
621210 - Offices of dentists,1997,,,,,,,,,,,,,,,88.854,2.6,,,,,1017.483,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.345,3.1,714.100,3.1
621210 - Offices of dentists,1998,,,,,,,,,,,,,,,89.786,1.0,,,,,1028.151,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.075,2.1,729.100,2.1
621210 - Offices of dentists,1999,,,,,,,,,,,,,,,89.625,-0.2,,,,,1026.312,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.125,1.2,738.200,1.2
621210 - Offices of dentists,2000,,,,,,,,,,,,,,,92.802,3.5,,,,,1062.684,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.292,2.5,757.000,2.5
621210 - Offices of dentists,2001,,,,,,,,,,,,,,,93.353,0.6,,,,,1069.003,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.322,2.3,774.600,2.3
621210 - Offices of dentists,2002,,,,,,,,,,,,,,,94.390,1.1,,,,,1080.879,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.501,2.4,793.500,2.4
621210 - Offices of dentists,2003,,,,,,,,,,,,,,,97.831,3.6,,,,,1120.272,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.765,3.6,821.800,3.6
621210 - Offices of dentists,2004,,,,,,,,,,,,,,,96.132,-1.7,,,,,1100.827,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.154,-0.6,816.500,-0.6
621210 - Offices of dentists,2005,,,,,,,,,,,,,,,97.022,0.9,,,,,1111.017,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.295,1.2,826.400,1.2
621210 - Offices of dentists,2006,,,,,,,,,,,,,,,101.854,5.0,,,,,1166.347,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.420,3.3,853.500,3.3
621210 - Offices of dentists,2007,,,,,,,,,,,,,,,100.000,-1.8,,,,,1145.115,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.000,1.6,867.200,1.6
621210 - Offices of dentists,2008,,,,,,,,,,,,,,,101.055,1.1,,,,,1157.199,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.354,-0.6,861.600,-0.6
621210 - Offices of dentists,2009,,,,,,,,,,,,,,,100.262,-0.8,,,,,1148.120,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.951,-0.4,858.100,-0.4
621210 - Offices of dentists,2010,,,,,,,,,,,,,,,103.168,2.9,,,,,1181.392,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.249,3.3,886.700,3.3
621210 - Offices of dentists,2011,,,,,,,,,,,,,,,104.347,1.1,,,,,1194.891,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.598,1.3,898.400,1.3
621210 - Offices of dentists,2012,,,,,,,,,,,,,,,106.736,2.3,,,,,1222.246,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.056,-0.5,893.700,-0.5
621210 - Offices of dentists,2013,,,,,,,,,,,,,,,105.709,-1.0,,,,,1210.493,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.728,1.6,908.200,1.6
621210 - Offices of dentists,2014,,,,,,,,,,,,,,,108.910,3.0,,,,,1247.140,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.449,2.6,931.800,2.6
621210 - Offices of dentists,2015,,,,,,,,,,,,,,,111.520,2.4,,,,,1277.033,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.663,2.1,951.000,2.1
621210 - Offices of dentists,2016,,,,,,,,,,,,,,,112.276,0.7,,,,,1285.689,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.148,0.4,955.200,0.4
621210 - Offices of dentists,2017,,,,,,,,,,,,,,,112.182,-0.1,,,,,1284.617,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.220,1.0,964.500,1.0
621210 - Offices of dentists,2018,,,,,,,,,,,,,,,110.940,-1.1,,,,,1270.389,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.399,2.0,983.400,2.0
621210 - Offices of dentists,2019,,,,,,,,,,,,,,,113.183,2.0,,,,,1296.073,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.625,2.0,1002.700,2.0
621210 - Offices of dentists,2020,,,,,,,,,,,,,,,102.188,-9.7,,,,,1170.167,-9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.250,-8.1,921.400,-8.1
621511 - Medical laboratories,1987,,,,,,,,,,,,,,,52.084,,,,,,135.980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.397,,77.600,
621511 - Medical laboratories,1988,,,,,,,,,,,,,,,55.997,7.5,,,,,146.197,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.718,8.2,84.000,8.2
621511 - Medical laboratories,1989,,,,,,,,,,,,,,,60.847,8.7,,,,,158.858,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.985,9.3,91.800,9.3
621511 - Medical laboratories,1990,,,,,,,,,,,,,,,61.813,1.6,,,,,161.380,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.133,1.9,93.500,1.9
621511 - Medical laboratories,1991,,,,,,,,,,,,,,,63.897,3.4,,,,,166.821,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.496,3.7,97.000,3.7
621511 - Medical laboratories,1992,,,,,,,,,,,,,,,66.901,4.7,,,,,174.664,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.265,4.2,101.100,4.2
621511 - Medical laboratories,1993,,,,,,,,,,,,,,,69.607,4.0,,,,,181.729,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.033,4.1,105.200,4.1
621511 - Medical laboratories,1994,,,,,,,,,,,,,69.276,,71.367,2.5,4427.678,,,,186.323,2.5,,,,,,,,,,,,,,,,,,,,,49.440,,78.290,,9080.196,,102.061,,50.459,,70.704,,68.881,,71.776,1.0,106.300,1.0
621511 - Medical laboratories,1995,,,,,,,,,,,,,68.740,-0.8,71.438,0.1,4490.385,1.4,,,186.509,0.1,,,,,,,,,,,,,,,,,,,,,49.106,-0.7,81.621,4.3,9402.698,3.6,104.209,2.1,51.173,1.4,71.633,1.3,68.224,-1.0,71.978,0.3,106.600,0.3
621511 - Medical laboratories,1996,,,,,,,,,,,,,71.281,3.7,72.843,2.0,4651.122,3.6,,,190.178,2.0,,,,,,,,,,,,,,,,,,,,,51.923,5.7,82.694,1.3,10072.804,7.1,102.084,-2.0,53.005,3.6,72.766,1.6,70.549,3.4,73.599,2.3,109.000,2.3
621511 - Medical laboratories,1997,,,,,,,,,,,,,75.898,6.5,72.829,0.0,4714.914,1.4,,,190.140,0.0,,,,,,,,,,,,,,,,,,,,,55.276,6.5,83.384,0.8,10812.534,7.3,97.207,-4.8,53.732,1.4,73.779,1.4,73.884,4.7,74.814,1.7,110.800,1.7
621511 - Medical laboratories,1998,,,,,,,,,,,,,88.850,17.1,73.195,0.5,4894.167,3.8,,,191.097,0.5,,,,,,,,,,,,,,,,,,,,,65.034,17.7,83.626,0.3,12758.358,18.0,85.763,-11.8,55.775,3.8,76.200,3.3,85.919,16.3,75.692,1.2,112.100,1.2
621511 - Medical laboratories,1999,,,,,,,,,,,,,92.673,4.3,73.903,1.0,5266.559,7.6,,,192.945,1.0,,,,,,,,,,,,,,,,,,,,,68.488,5.3,83.482,-0.2,13412.789,5.1,87.634,2.2,60.019,7.6,81.213,6.6,88.355,2.8,77.515,2.4,114.800,2.4
621511 - Medical laboratories,2000,,,,,,,,,,,,,97.312,5.0,78.575,6.3,5702.456,8.3,,,205.142,6.3,,,,,,,,,,,,,,,,,,,,,76.463,11.6,85.575,2.5,15350.033,14.4,84.991,-3.0,64.986,8.3,82.706,1.8,95.321,7.9,80.216,3.5,118.800,3.5
621511 - Medical laboratories,2001,,,,,,,,,,,,,97.483,0.2,84.547,7.6,6263.721,9.8,,,220.733,7.6,,,,,,,,,,,,,,,,,,,,,82.418,7.8,89.140,4.2,17234.852,12.3,86.610,1.9,71.383,9.8,84.430,2.1,97.183,2.0,84.808,5.7,125.600,5.7
621511 - Medical laboratories,2002,,,,,,,,,,,,,94.243,-3.3,86.429,2.2,6573.992,5.0,,,225.646,2.2,,,,,,,,,,,,,,,,,,,,,81.453,-1.2,91.081,2.2,17404.001,1.0,91.978,6.2,74.919,5.0,86.683,2.7,94.465,-2.8,86.226,1.7,127.700,1.7
621511 - Medical laboratories,2003,,,,,,,,,,,,,97.720,3.7,88.389,2.3,6783.496,3.2,,,230.764,2.3,,,,,,,,,,,,,,,,,,,,,86.374,6.0,92.583,1.6,18759.590,7.8,89.502,-2.7,77.306,3.2,87.461,0.9,97.425,3.1,88.656,2.8,131.300,2.8
621511 - Medical laboratories,2004,,,,,,,,,,,,,99.599,1.9,90.539,2.4,7511.803,10.7,,,236.379,2.4,,,,,,,,,,,,,,,,,,,,,90.176,4.4,93.176,0.6,19710.924,5.1,94.932,6.1,85.606,10.7,94.551,8.1,97.983,0.6,92.032,3.8,136.300,3.8
621511 - Medical laboratories,2005,,,,,,,,,,,,,96.406,-3.2,95.117,5.1,7653.223,1.9,,,248.330,5.1,,,,,,,,,,,,,,,,,,,,,91.698,1.7,98.442,5.7,21176.475,7.4,95.114,0.2,87.218,1.9,91.695,-3.0,96.796,-1.2,94.733,2.9,140.300,2.9
621511 - Medical laboratories,2006,,,,,,,,,,,,,97.612,1.3,100.056,5.2,8171.613,6.8,,,261.224,5.2,,,,,,,,,,,,,,,,,,,,,97.666,6.5,98.849,0.4,22647.967,6.9,95.351,0.2,93.125,6.8,93.074,1.5,101.150,4.5,96.556,1.9,143.000,1.9
621511 - Medical laboratories,2007,,,,,,,,,,,,,100.000,2.4,100.000,-0.1,8774.845,7.4,,,261.078,-0.1,,,,,,,,,,,,,,,,,,,,,100.000,2.4,100.000,1.2,23459.154,3.6,100.000,4.9,100.000,7.4,100.000,7.4,100.000,-1.1,100.000,3.6,148.100,3.6
621511 - Medical laboratories,2008,,,,,,,,,,,,,108.667,8.7,98.252,-1.7,9204.840,4.9,,,256.514,-1.7,,,,,,,,,,,,,,,,,,,,,106.767,6.8,100.798,0.8,25246.389,7.6,98.252,-1.7,104.900,4.9,106.767,6.8,104.440,4.4,102.228,2.2,151.400,2.2
621511 - Medical laboratories,2009,,,,,,,,,,,,,113.935,4.8,100.170,2.0,9684.740,5.2,,,261.522,2.0,,,,,,,,,,,,,,,,,,,,,114.129,6.9,102.665,1.9,27486.997,8.9,96.706,-1.6,110.369,5.2,110.182,3.2,108.907,4.3,104.794,2.5,155.200,2.5
621511 - Medical laboratories,2010,,,,,,,,,,,,,106.807,-6.3,110.085,9.9,10539.635,8.8,,,287.407,9.9,,,,,,,,,,,,,,,,,,,,,117.578,3.0,102.477,-0.2,28265.911,2.8,102.155,5.6,120.112,8.8,109.109,-1.0,106.764,-2.0,110.128,5.1,163.100,5.1
621511 - Medical laboratories,2011,,,,,,,,,,,,,105.525,-1.2,119.841,8.9,10942.832,3.8,,,312.878,8.9,,,,,,,,,,,,,,,,,,,,,126.461,7.6,102.332,-0.1,30358.677,7.4,98.613,-3.5,124.707,3.8,104.061,-4.6,111.482,4.4,113.437,3.0,168.000,3.0
621511 - Medical laboratories,2012,,,,,,,,,,,,,100.743,-4.5,125.637,4.8,11756.751,7.4,,,328.011,4.8,,,,,,,,,,,,,,,,,,,,,126.570,0.1,101.567,-0.7,30157.587,-0.7,105.857,7.3,133.982,7.4,106.643,2.5,107.298,-3.8,117.961,4.0,174.700,4.0
621511 - Medical laboratories,2013,,,,,,,,,,,,,104.948,4.2,126.170,0.4,12664.352,7.7,,,329.404,0.4,,,,,,,,,,,,,,,,,,,,,132.414,4.6,99.007,-2.5,30754.779,2.0,108.996,3.0,144.326,7.7,114.390,7.3,107.868,0.5,122.755,4.1,181.800,4.1
621511 - Medical laboratories,2014,,,,,,,,,,,,,104.751,-0.2,131.050,3.9,13108.264,3.5,,,342.144,3.9,,,,,,,,,,,,,,,,,,,,,137.277,3.7,98.654,-0.4,31770.427,3.3,108.820,-0.2,149.385,3.5,113.990,-0.3,108.953,1.0,125.996,2.6,186.600,2.6
621511 - Medical laboratories,2015,,,,,,,,,,,,,103.434,-1.3,138.079,5.4,13989.223,6.7,,,360.494,5.4,,,,,,,,,,,,,,,,,,,,,142.821,4.0,98.279,-0.4,32927.889,3.6,111.625,2.6,159.424,6.7,115.459,1.3,108.917,0.0,131.128,4.1,194.200,4.1
621511 - Medical laboratories,2016,,,,,,,,,,,,,105.608,2.1,139.901,1.3,14272.922,2.0,,,365.251,1.3,,,,,,,,,,,,,,,,,,,,,147.746,3.4,98.073,-0.2,33992.047,3.2,110.093,-1.4,162.657,2.0,116.266,0.7,110.455,1.4,133.761,2.0,198.100,2.0
621511 - Medical laboratories,2017,,,,,,,,,,,,,110.359,4.5,142.258,1.7,14999.374,5.1,,,371.404,1.7,,,,,,,,,,,,,,,,,,,,,156.995,6.3,97.880,-0.2,36048.635,6.1,108.880,-1.1,170.936,5.1,120.159,3.3,115.676,4.7,135.719,1.5,201.000,1.5
621511 - Medical laboratories,2018,,,,,,,,,,,,,111.616,1.1,144.242,1.4,15728.267,4.9,,,376.585,1.4,,,,,,,,,,,,,,,,,,,,,160.998,2.5,96.357,-1.6,36392.716,1.0,111.333,2.3,179.243,4.9,124.265,3.4,115.915,0.2,138.893,2.3,205.700,2.3
621511 - Medical laboratories,2019,,,,,,,,,,,,,112.687,1.0,147.154,2.0,16968.867,7.9,,,384.186,2.0,,,,,,,,,,,,,,,,,,,,,165.824,3.0,94.806,-1.6,36880.287,1.3,116.618,4.7,193.381,7.9,131.414,5.8,116.116,0.2,142.809,2.8,211.500,2.8
621511 - Medical laboratories,2020,,,,,,,,,,,,,,,145.936,-0.8,,,,,381.008,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.552,0.5,212.600,0.5
621512 - Diagnostic imaging centers,1987,,,,,,,,,,,,,,,41.828,,,,,,53.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.999,,31.200,
621512 - Diagnostic imaging centers,1988,,,,,,,,,,,,,,,44.563,6.5,,,,,57.394,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.021,7.4,33.500,7.4
621512 - Diagnostic imaging centers,1989,,,,,,,,,,,,,,,48.116,8.0,,,,,61.970,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.832,8.7,36.400,8.7
621512 - Diagnostic imaging centers,1990,,,,,,,,,,,,,,,48.628,1.1,,,,,62.629,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.620,1.6,37.000,1.6
621512 - Diagnostic imaging centers,1991,,,,,,,,,,,,,,,49.839,2.5,,,,,64.189,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.934,2.7,38.000,2.7
621512 - Diagnostic imaging centers,1992,,,,,,,,,,,,,,,51.729,3.8,,,,,66.622,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.774,3.7,39.400,3.7
621512 - Diagnostic imaging centers,1993,,,,,,,,,,,,,,,53.601,3.6,,,,,69.034,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.482,3.3,40.700,3.3
621512 - Diagnostic imaging centers,1994,,,,,,,,,,,,,58.970,,54.620,1.9,1695.949,,,,70.346,1.9,,,,,,,,,,,,,,,,,,,,,32.209,,89.706,,5107.082,,106.638,,34.347,,62.884,,59.930,,53.745,0.5,40.900,0.5
621512 - Diagnostic imaging centers,1995,,,,,,,,,,,,,59.479,0.9,54.695,0.1,1661.409,-2.0,,,70.442,0.1,,,,,,,,,,,,,,,,,,,,,32.532,1.0,91.971,2.5,5288.471,3.6,103.430,-3.0,33.648,-2.0,61.519,-2.2,60.530,1.0,53.745,0.0,40.900,0.0
621512 - Diagnostic imaging centers,1996,,,,,,,,,,,,,62.122,4.4,55.666,1.8,1681.610,1.2,,,71.694,1.8,,,,,,,,,,,,,,,,,,,,,34.581,6.3,92.687,0.8,5665.366,7.1,98.484,-4.8,34.057,1.2,61.180,-0.6,62.957,4.0,54.928,2.2,41.800,2.2
621512 - Diagnostic imaging centers,1997,,,,,,,,,,,,,66.442,7.0,55.584,-0.1,1781.060,5.9,,,71.588,-0.1,,,,,,,,,,,,,,,,,,,,,36.931,6.8,93.163,0.5,6081.421,7.3,97.671,-0.8,36.071,5.9,64.895,6.1,66.128,5.0,55.848,1.7,42.500,1.7
621512 - Diagnostic imaging centers,1998,,,,,,,,,,,,,80.672,21.4,56.551,1.7,2004.620,12.6,,,72.833,1.7,,,,,,,,,,,,,,,,,,,,,45.621,23.5,91.581,-1.7,7384.790,21.4,88.991,-8.9,40.599,12.6,71.791,10.6,79.627,20.4,57.293,2.6,43.600,2.6
621512 - Diagnostic imaging centers,1999,,,,,,,,,,,,,86.636,7.4,58.200,2.9,2328.920,16.2,,,74.957,2.9,,,,,,,,,,,,,,,,,,,,,50.422,10.5,89.413,-2.4,7968.733,7.9,93.544,5.1,47.167,16.2,81.043,12.9,84.332,5.9,59.790,4.4,45.500,4.4
621512 - Diagnostic imaging centers,2000,,,,,,,,,,,,,93.483,7.9,60.485,3.9,2538.073,9.0,,,77.900,3.9,,,,,,,,,,,,,,,,,,,,,56.543,12.1,88.785,-0.7,8873.367,11.4,90.908,-2.8,51.402,9.0,84.984,4.9,93.339,10.7,60.578,1.3,46.100,1.3
621512 - Diagnostic imaging centers,2001,,,,,,,,,,,,,98.813,5.7,66.765,10.4,2967.409,16.9,,,85.988,10.4,,,,,,,,,,,,,,,,,,,,,65.973,16.7,90.140,1.5,10511.220,18.5,91.095,0.2,60.098,16.9,90.014,5.9,99.614,6.7,66.229,9.3,50.400,9.3
621512 - Diagnostic imaging centers,2002,,,,,,,,,,,,,109.133,10.4,69.076,3.5,3005.920,1.3,,,88.965,3.5,,,,,,,,,,,,,,,,,,,,,75.385,14.3,88.862,-1.4,11840.500,12.6,80.756,-11.3,60.878,1.3,88.131,-2.1,109.272,9.7,68.988,4.2,52.500,4.2
621512 - Diagnostic imaging centers,2003,,,,,,,,,,,,,108.330,-0.7,73.468,6.4,3276.791,9.0,,,94.621,6.4,,,,,,,,,,,,,,,,,,,,,79.588,5.6,91.939,3.5,12933.528,9.2,83.384,3.3,66.363,9.0,90.329,2.5,109.129,-0.1,72.930,5.7,55.500,5.7
621512 - Diagnostic imaging centers,2004,,,,,,,,,,,,,105.298,-2.8,81.006,10.3,3750.387,14.5,,,104.330,10.3,,,,,,,,,,,,,,,,,,,,,85.298,7.2,94.222,2.5,14205.626,9.8,89.047,6.8,75.955,14.5,93.764,3.8,103.363,-5.3,82.523,13.2,62.800,13.2
621512 - Diagnostic imaging centers,2005,,,,,,,,,,,,,108.428,3.0,84.069,3.8,4004.347,6.8,,,108.274,3.8,,,,,,,,,,,,,,,,,,,,,91.154,6.9,95.588,1.4,15400.980,8.4,88.968,-0.1,81.098,6.8,96.467,2.9,107.548,4.0,84.757,2.7,64.500,2.7
621512 - Diagnostic imaging centers,2006,,,,,,,,,,,,,111.962,3.3,88.546,5.3,4359.236,8.9,,,114.040,5.3,,,,,,,,,,,,,,,,,,,,,99.137,8.8,95.646,0.1,16759.887,8.8,89.054,0.1,88.286,8.9,99.706,3.4,110.783,3.0,89.488,5.6,68.100,5.6
621512 - Diagnostic imaging centers,2007,,,,,,,,,,,,,100.000,-10.7,100.000,12.9,4937.648,13.3,,,128.792,12.9,,,,,,,,,,,,,,,,,,,,,100.000,0.9,100.000,4.6,17675.451,5.5,100.000,12.3,100.000,13.3,100.000,0.3,100.000,-9.7,100.000,11.7,76.100,11.7
621512 - Diagnostic imaging centers,2008,,,,,,,,,,,,,107.484,7.5,95.817,-4.2,4890.578,-1.0,,,123.405,-4.2,,,,,,,,,,,,,,,,,,,,,102.988,3.0,99.543,-0.5,18120.409,2.5,96.173,-3.8,99.047,-1.0,103.371,3.4,104.359,4.4,98.686,-1.3,75.100,-1.3
621512 - Diagnostic imaging centers,2009,,,,,,,,,,,,,104.934,-2.4,97.985,2.3,5263.119,7.6,,,126.197,2.3,,,,,,,,,,,,,,,,,,,,,102.820,-0.2,99.398,-0.1,18064.493,-0.3,103.669,7.8,106.592,7.6,108.784,5.2,101.618,-2.6,101.183,2.5,77.000,2.5
621512 - Diagnostic imaging centers,2010,,,,,,,,,,,,,103.005,-1.8,96.097,-1.9,5281.659,0.4,,,123.766,-1.9,,,,,,,,,,,,,,,,,,,,,98.985,-3.7,99.473,0.1,17403.862,-3.7,108.064,4.2,106.967,0.4,111.311,2.3,99.904,-1.7,99.080,-2.1,75.400,-2.1
621512 - Diagnostic imaging centers,2011,,,,,,,,,,,,,98.767,-4.1,97.242,1.2,5408.864,2.4,,,125.240,1.2,,,,,,,,,,,,,,,,,,,,,96.043,-3.0,100.370,0.9,17038.962,-2.1,114.056,5.5,109.543,2.4,112.650,1.2,96.678,-3.2,99.343,0.3,75.600,0.3
621512 - Diagnostic imaging centers,2012,,,,,,,,,,,,,94.898,-3.9,100.375,3.2,5661.823,4.7,,,129.275,3.2,,,,,,,,,,,,,,,,,,,,,95.254,-0.8,101.337,1.0,17061.700,0.1,120.380,5.5,114.666,4.7,114.238,1.4,92.224,-4.6,103.285,4.0,78.600,4.0
621512 - Diagnostic imaging centers,2013,,,,,,,,,,,,,94.331,-0.6,100.022,-0.4,5688.234,0.5,,,128.821,-0.4,,,,,,,,,,,,,,,,,,,,,94.352,-0.9,101.253,-0.1,16886.039,-1.0,122.098,1.4,115.201,0.5,115.176,0.8,93.614,1.5,100.788,-2.4,76.700,-2.4
621512 - Diagnostic imaging centers,2014,,,,,,,,,,,,,98.071,4.0,96.093,-3.9,5628.343,-1.1,,,123.760,-3.9,,,,,,,,,,,,,,,,,,,,,94.239,-0.1,100.951,-0.3,16815.489,-0.4,120.957,-0.9,113.988,-1.1,118.623,3.0,94.612,1.1,99.606,-1.2,75.800,-1.2
621512 - Diagnostic imaging centers,2015,,,,,,,,,,,,,96.775,-1.3,99.466,3.5,5755.404,2.3,,,128.105,3.5,,,,,,,,,,,,,,,,,,,,,96.259,2.1,101.381,0.4,17249.110,2.6,121.092,0.1,116.562,2.3,117.187,-1.2,96.767,2.3,99.474,-0.1,75.700,-0.1
621512 - Diagnostic imaging centers,2016,,,,,,,,,,,,,100.990,4.4,99.060,-0.4,5804.892,0.9,,,127.582,-0.4,,,,,,,,,,,,,,,,,,,,,100.041,3.9,101.151,-0.2,17886.301,3.7,117.515,-3.0,117.564,0.9,118.679,1.3,99.910,3.2,100.131,0.7,76.200,0.7
621512 - Diagnostic imaging centers,2017,,,,,,,,,,,,,100.307,-0.7,103.969,5.0,6212.147,7.0,,,133.904,5.0,,,,,,,,,,,,,,,,,,,,,104.289,4.2,101.487,0.3,18707.621,4.6,120.638,2.7,125.812,7.0,121.009,2.0,98.101,-1.8,106.307,6.2,80.900,6.2
621512 - Diagnostic imaging centers,2018,,,,,,,,,,,,,104.128,3.8,102.787,-1.1,6575.841,5.9,,,132.381,-1.1,,,,,,,,,,,,,,,,,,,,,107.030,2.6,100.710,-0.8,19052.207,1.8,124.431,3.1,133.178,5.9,129.567,7.1,99.450,1.4,107.622,1.2,81.900,1.2
621512 - Diagnostic imaging centers,2019,,,,,,,,,,,,,101.492,-2.5,109.340,6.4,7301.524,11.0,,,140.821,6.4,,,,,,,,,,,,,,,,,,,,,110.971,3.7,100.796,0.1,19770.760,3.8,133.255,7.1,147.875,11.0,135.243,4.4,96.845,-2.6,114.586,6.5,87.200,6.5
